Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2017,,Zaza Pachulia,GSW,70,58,12,18.1,6674.3,1.26,0.63,0.64,4.2,4.55,3.91
2017,,Zach Randolph,MEM,73,38,35,24.5,8471.1,1.6,0.86,0.74,3.94,3.99,3.88
2017,,Zach LaVine,MIN,47,16,31,37.2,14327.9,2.71,1.46,1.26,4.39,4.66,4.11
2017,,Yogi Ferrell,DAL,46,18,28,26,10053.1,1.9,1.04,0.87,4.4,4.69,4.1
2017,,Wilson Chandler,DEN,70,34,36,30.9,10906.6,2.07,1.11,0.95,4.02,4.31,3.72
2017,,Willy Hernangomez,NYK,72,27,45,18.4,7116.2,1.35,0.72,0.62,4.4,4.69,4.11
2017,,Willie Reed,MIA,71,39,32,14.5,5225.3,0.99,0.51,0.48,4.11,4.18,4.03
2017,,Willie Cauley-Stein,SAC,75,29,46,18.9,7097.6,1.34,0.71,0.63,4.27,4.47,4.06
2017,,Will Barton,DEN,59,30,29,28.5,10446.4,1.98,1.08,0.9,4.18,4.6,3.77
2017,,Wesley Matthews,DAL,72,28,44,34.1,12296.6,2.33,1.28,1.05,4.1,4.31,3.87
2017,,Wesley Johnson,LAC,68,40,28,11.9,4373.4,0.83,0.44,0.39,4.18,4.4,3.97
2017,,Wayne Selden,MEM,14,6,8,16.9,6287.8,1.19,0.66,0.53,4.25,4.6,3.88
2017,,Wayne Ellington,MIA,62,35,27,24.2,9160,1.73,0.96,0.77,4.32,4.64,3.97
2017,,Wade Baldwin IV,MEM,33,18,15,12.3,4962.1,0.94,0.53,0.41,4.6,4.96,4.24
2017,,Vince Carter,MEM,73,36,37,24.6,8545.7,1.62,0.89,0.73,3.95,4.17,3.7
2017,,Victor Oladipo,OKC,67,39,28,33.2,12393.7,2.35,1.19,1.15,4.25,4.53,4
2017,,Udonis Haslem,MIA,16,6,10,8.1,2733.6,0.52,0.28,0.23,3.83,3.88,3.67
2017,,Tyus Jones,MIN,60,23,37,12.9,4931.9,0.93,0.5,0.43,4.35,4.62,4.09
2017,,Tyson Chandler,PHX,45,14,31,27.3,9417,1.78,0.94,0.85,3.93,4.18,3.69
2017,,Tyreke Evans,SAC,40,17,23,19.7,6832.1,1.29,0.71,0.58,3.95,4.38,3.52
2017,,Tyler Zeller,BOS,51,32,19,10.3,3842,0.73,0.38,0.35,4.27,4.53,4.01
2017,,Tyler Ulis,PHX,59,14,45,18.7,7180.8,1.36,0.71,0.65,4.4,4.72,4.11
2017,,Tyler Johnson,MIA,73,35,38,29.8,11432.2,2.17,1.18,0.99,4.37,4.62,4.09
2017,,Tyler Ennis,LAL,53,28,25,11.1,4435.2,0.84,0.45,0.39,4.55,5.05,4.08
2017,,Ty Lawson,SAC,69,25,44,25.1,9099.3,1.72,0.91,0.81,4.13,4.35,3.91
2017,,Troy Williams,HOU,30,19,11,18.6,7120.5,1.35,0.73,0.62,4.37,4.68,4.07
2017,,Troy Daniels,MEM,67,33,34,17.7,6670,1.26,0.71,0.56,4.3,4.6,3.97
