Year,Rk,Player,Team,Age,GP,W,L,Min,Def Rtg,DREB,DREB_per,Per_DREB,STL,STL_per,BLK,Per_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2nd_Chance,OPP_PTS_FB,OPP_PTS_Paint,DEF_WS
2017,40,Steven Adams,OKC,23,80,47,33,29.9,103.9,4.2,15.1,18.9,1.1,21.2,1,30.4,10.3,7.3,6.6,28.1,0.04
2017,41,Kemba Walker,CHA,27,79,36,43,34.7,105.4,3.3,10.7,13.4,1.1,21.5,0.3,7.7,8.6,8.5,9.1,28.5,0.039
2017,42,Khris Middleton,MIL,25,29,19,10,30.7,104,3.9,15.3,20,1.4,26.1,0.2,8,10.1,6.8,7.8,27.7,0.039
2017,43,Tim Hardaway Jr.,ATL,25,79,42,37,27.3,103.1,2.4,9.4,12.3,0.7,15.1,0.2,7.5,9.6,7.5,6.5,21.7,0.039
2017,44,Michael Kidd-Gilchrist,CHA,23,81,36,45,29,103.8,5,19.4,24.1,1,22.3,1,31.6,7.3,6.6,7.3,22.8,0.039
2017,45,Harrison Barnes,DAL,25,79,32,47,35.5,105.7,3.8,13.2,16.9,0.8,14.6,0.2,7.4,10.4,7.9,10,28.6,0.039
2017,46,Eric Gordon,HOU,28,75,50,25,31,104.6,2.3,7.8,10.5,0.6,12.2,0.5,18.6,10.8,9.4,9.2,30.9,0.038
2017,47,Giannis Antetokounmpo,MIL,22,80,42,38,35.6,105.9,7,22.6,30.1,1.6,26.6,1.9,44.5,11.4,9.4,7.7,31.3,0.038
2017,48,Paul George,IND,27,75,39,36,35.9,106,5.8,17.8,23.6,1.6,24.9,0.4,9.1,12.2,9.4,7,29.4,0.038
2017,49,Pierre Jackson,DAL,25,8,4,4,10.6,86.3,1,11.1,14.3,0.3,8.7,0,0,1,3.6,1.9,6.5,0.038
2017,50,Marcus Smart,BOS,23,79,51,28,30.4,104.7,2.9,10.7,14.1,1.6,33,0.4,18.9,9.7,8.4,7.7,26.8,0.038
2017,51,Thaddeus Young,IND,29,74,40,34,30.2,104.7,4.3,15.2,20.5,1.5,28.1,0.4,10.8,10,8.4,6,25.9,0.037
2017,52,Hassan Whiteside,MIA,28,77,39,38,32.6,105.3,10.3,34.9,45.1,0.7,16.5,2.1,52.6,9.5,8.5,7.5,29.1,0.037
2017,53,Mike Conley,MEM,29,69,35,34,33.2,105.5,3,10.8,14,1.3,25.5,0.3,10.2,9.4,8,9.9,26.2,0.037
2017,54,Myles Turner,IND,21,81,42,39,31.4,105.1,5.6,19.2,25.7,0.9,16.4,2.1,57.5,11.1,8.7,6.4,26.2,0.037
2017,55,Patrick Patterson,TOR,28,65,42,23,24.6,102.5,3.6,16.2,21.2,0.6,13.8,0.4,15.4,7.2,7,5.2,20.5,0.037
2017,56,Dewayne Dedmon,SAS,27,76,55,21,17.5,97.5,4.8,30.2,38.3,0.5,16.4,0.8,35.9,5.7,4.2,4.2,13.2,0.037
2017,57,Lance Stephenson,IND,26,18,8,10,20.1,99.8,2.7,14.9,19,0.3,8.9,0.2,7.9,5.6,5,4.2,16.1,0.037
2017,58,Tony Parker,SAS,35,63,46,17,25.2,102.6,1.7,7.2,9.3,0.5,13.8,0,0.9,7.4,6.9,6.9,21.1,0.036
2017,59,David Lee,SAS,34,79,58,21,18.7,99.2,3.7,21.1,27.3,0.4,12,0.5,22.5,5.8,4.5,4.9,15.9,0.036
