Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Tim Hardaway Jr.,NYK,57,19,38,33.1,12344,2.34,1.24,1.09,4.28,4.53,4.03
2018,,Tim Frazier,WAS,59,31,28,14.2,5454.8,1.03,0.54,0.49,4.43,4.66,4.18
2018,,Thon Maker,MIL,73,40,33,16.8,6711.6,1.27,0.63,0.65,4.57,4.65,4.49
2018,,Thomas Bryant,LAL,15,7,8,4.8,1890.1,0.36,0.19,0.16,4.5,5,3.86
2018,,Thaddeus Young,IND,81,48,33,32.2,12305.5,2.33,1.2,1.13,4.36,4.56,4.16
2018,,Thabo Sefolosha,UTA,38,16,22,21.2,8133.7,1.54,0.85,0.7,4.38,4.74,4.01
2018,,Terry Rozier,BOS,77,51,26,26,10335.8,1.96,1.08,0.88,4.54,4.88,4.18
2018,,Terrence Ross,ORL,24,10,14,25,9966.4,1.89,0.97,0.92,4.55,4.89,4.25
2018,,Terrance Ferguson,OKC,59,37,22,12.6,4769.7,0.9,0.44,0.46,4.33,4.28,4.37
2018,,Taurean Prince,ATL,81,24,57,30,10897.3,2.06,1.09,0.97,4.14,4.33,3.95
2018,,Tarik Black,HOU,51,40,11,10.5,3999.2,0.76,0.4,0.35,4.33,4.57,4.09
2018,,Taj Gibson,MIN,82,47,35,33.3,12286.6,2.33,1.25,1.08,4.21,4.36,4.05
2018,,TJ Warren,PHX,65,18,47,33,12893.7,2.44,1.28,1.16,4.46,4.72,4.21
2018,,TJ Leaf,IND,53,31,22,8.7,3404.7,0.64,0.36,0.29,4.51,4.78,4.19
2018,,T.J. McConnell,PHI,75,50,25,22.4,9411.1,1.78,0.97,0.81,4.79,5.25,4.34
2018,,Steven Adams,OKC,75,43,32,32.8,11770.2,2.23,1.1,1.13,4.1,4.22,3.98
2018,,Sterling Brown,MIL,54,26,28,14.4,5505.6,1.04,0.52,0.53,4.42,4.46,4.38
2018,,Stephen Curry,GSW,51,41,10,32,12758.4,2.42,1.28,1.13,4.55,5.24,3.96
2018,,Stanley Johnson,DET,69,33,36,27.4,10304.8,1.95,1.01,0.94,4.29,4.43,4.14
2018,,Spencer Dinwiddie,BKN,78,27,51,28.9,10501,1.99,1.12,0.87,4.13,4.52,3.72
2018,,Solomon Hill,NOP,12,8,4,15.6,5877.7,1.11,0.6,0.52,4.31,4.79,3.86
2018,,Skal Labissiere,SAC,60,19,41,20.7,7967.5,1.51,0.8,0.71,4.42,4.65,4.19
2018,,Sindarius Thornwell,LAC,73,36,37,15.8,6332.5,1.2,0.6,0.6,4.56,4.75,4.39
2018,,Shelvin Mack,ORL,69,21,48,19.8,7800.2,1.48,0.8,0.68,4.54,4.92,4.16
2018,,Shaun Livingston,GSW,71,49,22,15.9,6199.9,1.17,0.62,0.55,4.47,5.01,3.99
2018,,Shaquille Harrison,PHX,23,3,20,16.7,7364,1.39,0.75,0.65,5.02,5.52,4.55
